key,en,es,fr,zh,hi,ko
article_sleep_p14,"Brief awakenings during the night are normal. If you can't get back to sleep within 20 minutes, try the same technique—get up, do something calming, and return when sleepy.","Los despertares breves durante la noche son normales. Si no puedes volver a dormirte en 20 minutos, prueba la misma técnica—levántate, haz algo tranquilo y regresa cuando tengas sueño.","Les réveils brefs pendant la nuit sont normaux. Si vous ne pouvez pas vous rendormir dans les 20 minutes, essayez la même technique—levez-vous, faites quelque chose de calme, et retournez au lit quand vous avez sommeil.",夜间短暂醒来是正常的。如果您在20分钟内无法重新入睡，请尝试同样的技巧——起床，做些平静的事情，当困倦时再回来。,"रात में संक्षिप्त जागना सामान्य है। यदि आप 20 मिनट के भीतर वापस नहीं सो पाते, तो वही तकनीक आजमाएं—उठें, कुछ शांत करें, और नींद आने पर लौटें।","밤 동안 짧게 깨는 것은 정상입니다. 20분 내에 다시 잠들지 못하면 같은 기법을 시도하세요 - 일어나서 진정시키는 일을 하고, 졸릴 때 돌아가세요."
article_sleep_p15,Keep a notepad by your bed to write down worries or to-do items. This 'brain dump' can help clear your mind. You might also try mindfulness meditation to quiet racing thoughts.,Ten una libreta junto a tu cama para escribir preocupaciones o tareas pendientes. Este 'vaciado mental' puede ayudar a despejar tu mente. También podrías probar la meditación de atención plena para calmar los pensamientos acelerados.,Gardez un bloc-notes près de votre lit pour noter vos soucis ou choses à faire. Ce 'vidage de cerveau' peut aider à clarifier votre esprit. Vous pouvez aussi essayer la méditation de pleine conscience pour calmer les pensées qui défilent.,在床边放一个记事本，写下担忧或待办事项。这种'大脑清空'可以帮助清理您的思绪。您也可以尝试正念冥想来平息奔涌的思绪。,चिंताओं या करने योग्य कार्यों को लिखने के लिए अपने बिस्तर के पास एक नोटपैड रखें। यह 'ब्रेन डंप' आपके दिमाग को साफ करने में मदद कर सकता है। आप तेज़ दौड़ते विचारों को शांत करने के लिए माइंडफुलनेस मेडिटेशन भी आजमा सकते हैं।,걱정이나 할 일을 적을 메모장을 침대 옆에 두세요. 이 '뇌 덤프'는 마음을 정리하는 데 도움이 됩니다. 빙빙 도는 생각을 진정시키기 위해 마음챙김 명상을 시도해 볼 수도 있습니다.
article_sleep_p16,"If you consistently wake up too early, try adjusting your bedtime or making sure your room stays dark in the morning hours. Exposure to bright light early in the evening can also help shift your sleep schedule.","Si te despiertas constantemente muy temprano, intenta ajustar tu hora de acostarte o asegurarte de que tu habitación permanezca oscura por las mañanas. La exposición a la luz brillante temprano en la noche también puede ayudar a cambiar tu horario de sueño.","Si vous vous réveillez régulièrement trop tôt, essayez d'ajuster votre heure de coucher ou assurez-vous que votre chambre reste sombre le matin. L'exposition à une lumière vive tôt dans la soirée peut aussi aider à décaler votre horaire de sommeil.",如果您经常过早醒来，请尝试调整您的就寝时间，或确保您的房间在早晨保持黑暗。傍晚早些时候接触明亮的光线也可以帮助调整您的睡眠时间表。,"यदि आप लगातार बहुत जल्दी जाग जाते हैं, तो अपने सोने के समय को समायोजित करने या सुबह के घंटों में अपने कमरे को अंधेरा रखने का प्रयास करें। शाम को जल्दी तेज रोशनी के संपर्क में आना भी आपके नींद के कार्यक्रम को बदलने में मदद कर सकता है।","지속적으로 너무 일찍 일어난다면, 취침 시간을 조정하거나 아침에 방이 어둡게 유지되도록 하세요. 저녁 초반에 밝은 빛에 노출되는 것도 수면 일정을 바꾸는 데 도움이 될 수 있습니다."
article_sleep_p17,Consult a healthcare provider if:,Consulta a un proveedor de atención médica si:,Consultez un professionnel de santé si :,如果出现以下情况，请咨询医疗保健提供者：,स्वास्थ्य सेवा प्रदाता से परामर्श करें यदि:,다음과 같은 경우 의료 제공자와 상담하세요:
article_sleep_p18,"Sleep disorders like insomnia, sleep apnea, and restless legs syndrome are treatable. A doctor can help diagnose any underlying issues and recommend appropriate treatment.","Los trastornos del sueño como el insomnio, la apnea del sueño y el síndrome de piernas inquietas son tratables. Un médico puede ayudar a diagnosticar cualquier problema subyacente y recomendar el tratamiento apropiado.","Les troubles du sommeil comme l'insomnie, l'apnée du sommeil et le syndrome des jambes sans repos sont traitables. Un médecin peut aider à diagnostiquer les problèmes sous-jacents et recommander un traitement approprié.",失眠、睡眠呼吸暂停和不宁腿综合征等睡眠障碍是可以治疗的。医生可以帮助诊断任何潜在问题并推荐适当的治疗方法。,"अनिद्रा, स्लीप एपनिया और रेस्टलेस लेग्स सिंड्रोम जैसी नींद की समस्याएं इलाज योग्य हैं। एक डॉक्टर किसी भी अंतर्निहित समस्या का निदान करने और उचित उपचार की सिफारिश करने में मदद कर सकता है।","불면증, 수면무호흡증, 하지불안증후군과 같은 수면 장애는 치료 가능합니다. 의사는 근본적인 문제를 진단하고 적절한 치료를 권장하는 데 도움을 줄 수 있습니다."
article_sleep_p2,"Chronic sleep deprivation is linked to serious health problems including obesity, diabetes, cardiovascular disease, and weakened immune function. It also affects your mood, concentration, and decision-making abilities.","La privación crónica del sueño está vinculada a problemas de salud graves incluyendo obesidad, diabetes, enfermedades cardiovasculares y función inmunológica debilitada. También afecta tu estado de ánimo, concentración y capacidad de tomar decisiones.","La privation chronique de sommeil est liée à de graves problèmes de santé, notamment l'obésité, le diabète, les maladies cardiovasculaires et un système immunitaire affaibli. Elle affecte également votre humeur, votre concentration et vos capacités de prise de décision.",长期睡眠不足与严重健康问题有关，包括肥胖、糖尿病、心血管疾病和免疫功能下降。它还会影响您的情绪、注意力和决策能力。,"पुरानी नींद की कमी गंभीर स्वास्थ्य समस्याओं से जुड़ी है जिसमें मोटापा, मधुमेह, हृदय रोग और कमजोर प्रतिरक्षा प्रणाली शामिल है। यह आपके मूड, एकाग्रता और निर्णय लेने की क्षमताओं को भी प्रभावित करता है।","만성적인 수면 부족은 비만, 당뇨병, 심혈관 질환, 약해진 면역 기능을 포함한 심각한 건강 문제와 연결됩니다. 또한 기분, 집중력, 의사결정 능력에도 영향을 미칩니다."
article_sleep_p3,"The good news is that with proper sleep hygiene and habits, most people can significantly improve their sleep quality. Small changes can make a big difference.","La buena noticia es que con una higiene del sueño y hábitos adecuados, la mayoría de las personas pueden mejorar significativamente la calidad de su sueño. Los pequeños cambios pueden hacer una gran diferencia.","La bonne nouvelle est qu'avec une bonne hygiène du sommeil et de bonnes habitudes, la plupart des gens peuvent améliorer significativement la qualité de leur sommeil. De petits changements peuvent faire une grande différence.",好消息是，通过适当的睡眠卫生和习惯，大多数人可以显著改善睡眠质量。小的改变可以带来大的不同。,"अच्छी खबर यह है कि उचित नींद की स्वच्छता और आदतों के साथ, अधिकांश लोग अपनी नींद की गुणवत्ता में काफी सुधार कर सकते हैं। छोटे बदलाव बड़ा अंतर ला सकते हैं।",좋은 소식은 적절한 수면 위생과 습관을 통해 대부분의 사람들이 수면의 질을 크게 개선할 수 있다는 것입니다. 작은 변화가 큰 차이를 만들 수 있습니다.
article_sleep_p4,"Sleep needs vary by age, but here are general guidelines from the National Sleep Foundation:","Las necesidades de sueño varían según la edad, pero aquí hay pautas generales de la Fundación Nacional del Sueño:","Les besoins en sommeil varient selon l'âge, mais voici les recommandations générales de la Fondation Nationale du Sommeil :",睡眠需求因年龄而异，以下是美国国家睡眠基金会的一般指南：,"नींद की जरूरतें उम्र के अनुसार भिन्न होती हैं, लेकिन यहां राष्ट्रीय नींद फाउंडेशन से सामान्य दिशानिर्देश हैं:","수면 필요량은 연령에 따라 다르지만, 국립수면재단의 일반적인 지침은 다음과 같습니다:"
article_sleep_p5,"Remember, these are guidelines. Some people naturally need more or less sleep. Pay attention to how you feel—if you're consistently tired during the day, you may need more sleep.","Recuerda, estas son pautas. Algunas personas naturalmente necesitan más o menos sueño. Presta atención a cómo te sientes—si estás constantemente cansado durante el día, es posible que necesites más sueño.","Rappelez-vous, ce sont des recommandations. Certaines personnes ont naturellement besoin de plus ou moins de sommeil. Soyez attentif à ce que vous ressentez—si vous êtes constamment fatigué pendant la journée, vous avez peut-être besoin de plus de sommeil.",请记住，这些只是指南。有些人天生需要更多或更少的睡眠。注意您的感受——如果您白天经常感到疲倦，您可能需要更多睡眠。,"याद रखें, ये दिशानिर्देश हैं। कुछ लोगों को स्वाभाविक रूप से अधिक या कम नींद की आवश्यकता होती है। ध्यान दें कि आप कैसा महसूस करते हैं—यदि आप दिन में लगातार थके हुए हैं, तो आपको अधिक नींद की आवश्यकता हो सकती है।",이것은 지침임을 기억하세요. 어떤 사람들은 자연스럽게 더 많거나 적은 수면이 필요합니다. 기분에 주의를 기울이세요 - 낮 동안 지속적으로 피곤하다면 더 많은 수면이 필요할 수 있습니다.
article_sleep_p6,Sleep hygiene refers to habits and practices that promote quality sleep. Here are the fundamentals:,La higiene del sueño se refiere a hábitos y prácticas que promueven un sueño de calidad. Aquí están los fundamentos:,L'hygiène du sommeil désigne les habitudes et pratiques qui favorisent un sommeil de qualité. Voici les fondamentaux :,睡眠卫生是指促进优质睡眠的习惯和做法。以下是基本要点：,नींद की स्वच्छता उन आदतों और प्रथाओं को संदर्भित करती है जो गुणवत्तापूर्ण नींद को बढ़ावा देती हैं। यहां बुनियादी बातें हैं:,수면 위생은 양질의 수면을 촉진하는 습관과 관행을 말합니다. 기본 사항은 다음과 같습니다:
article_sleep_p7,"Go to bed and wake up at the same time every day, even on weekends. This helps regulate your body's internal clock (circadian rhythm) and can help you fall asleep and wake up more easily.","Acuéstate y despiértate a la misma hora todos los días, incluso los fines de semana. Esto ayuda a regular el reloj interno de tu cuerpo (ritmo circadiano) y puede ayudarte a dormirte y despertar más fácilmente.","Couchez-vous et réveillez-vous à la même heure tous les jours, même le week-end. Cela aide à réguler l'horloge interne de votre corps (rythme circadien) et peut vous aider à vous endormir et à vous réveiller plus facilement.",每天在同一时间上床睡觉和起床，包括周末。这有助于调节您身体的生物钟（昼夜节律），可以帮助您更容易入睡和醒来。,"हर दिन एक ही समय पर सोएं और जागें, सप्ताहांत में भी। यह आपके शरीर की आंतरिक घड़ी (सर्केडियन रिदम) को नियंत्रित करने में मदद करता है और आपको अधिक आसानी से सोने और जागने में मदद कर सकता है।",주말을 포함해 매일 같은 시간에 잠자리에 들고 일어나세요. 이것은 신체의 내부 시계(일주기 리듬)를 조절하고 더 쉽게 잠들고 일어나는 데 도움이 됩니다.
article_sleep_p8,"Caffeine can stay in your system for 6-8 hours, so avoid coffee, tea, and energy drinks in the afternoon and evening. While alcohol may help you fall asleep initially, it disrupts sleep quality later in the night.","La cafeína puede permanecer en tu sistema durante 6-8 horas, así que evita el café, té y bebidas energéticas por la tarde y noche. Aunque el alcohol puede ayudarte a dormir inicialmente, altera la calidad del sueño más tarde en la noche.","La caféine peut rester dans votre système pendant 6 à 8 heures, évitez donc le café, le thé et les boissons énergisantes l'après-midi et le soir. Bien que l'alcool puisse vous aider à vous endormir initialement, il perturbe la qualité du sommeil plus tard dans la nuit.",咖啡因可以在您体内停留6-8小时，所以下午和晚上要避免喝咖啡、茶和能量饮料。虽然酒精可能帮助您最初入睡，但它会在夜间晚些时候影响睡眠质量。,"कैफीन आपके सिस्टम में 6-8 घंटे तक रह सकती है, इसलिए दोपहर और शाम को कॉफी, चाय और एनर्जी ड्रिंक से बचें। हालांकि शराब शुरू में आपको सोने में मदद कर सकती है, यह रात में बाद में नींद की गुणवत्ता को बाधित करती है।","카페인은 6-8시간 동안 체내에 남아 있을 수 있으므로 오후와 저녁에 커피, 차, 에너지 음료를 피하세요. 알코올은 처음에 잠드는 데 도움이 될 수 있지만 나중에 수면의 질을 방해합니다."
article_sleep_p9,"Regular physical activity can help you fall asleep faster and enjoy deeper sleep. However, try to finish exercising at least 3 hours before bedtime, as exercise can be stimulating.","La actividad física regular puede ayudarte a dormirte más rápido y disfrutar de un sueño más profundo. Sin embargo, intenta terminar de hacer ejercicio al menos 3 horas antes de acostarte, ya que el ejercicio puede ser estimulante.","L'activité physique régulière peut vous aider à vous endormir plus vite et à profiter d'un sommeil plus profond. Cependant, essayez de terminer votre exercice au moins 3 heures avant le coucher, car l'exercice peut être stimulant.",定期体育活动可以帮助您更快入睡并享受更深的睡眠。但是，请尽量在睡前至少3小时完成锻炼，因为运动可能会让人兴奋。,"नियमित शारीरिक गतिविधि आपको तेजी से सोने और गहरी नींद का आनंद लेने में मदद कर सकती है। हालांकि, सोने से कम से कम 3 घंटे पहले व्यायाम पूरा करने का प्रयास करें, क्योंकि व्यायाम उत्तेजक हो सकता है।",규칙적인 신체 활동은 더 빨리 잠들고 더 깊은 수면을 취하는 데 도움이 됩니다. 그러나 운동은 자극이 될 수 있으므로 취침 최소 3시간 전에 운동을 마치세요.
article_sleep_subtitle,Science-backed strategies to improve your sleep quality and wake up feeling refreshed and energized.,Estrategias respaldadas por la ciencia para mejorar la calidad de tu sueño y despertar sintiéndote renovado y con energía.,Des stratégies fondées sur la science pour améliorer la qualité de votre sommeil et vous réveiller rafraîchi et plein d'énergie.,基于科学的策略，帮助您改善睡眠质量，醒来时感到神清气爽、精力充沛。,अपनी नींद की गुणवत्ता में सुधार करने और तरोताजा और ऊर्जावान महसूस करते हुए जागने के लिए विज्ञान-समर्थित रणनीतियां।,수면의 질을 개선하고 상쾌하고 활력 있게 일어나기 위한 과학 기반 전략.
article_sleep_title,Better Sleep: Your Complete Guide to Restful Nights,Mejor Sueño: Tu Guía Completa para Noches de Descanso,Mieux Dormir : Votre Guide Complet pour des Nuits Reposantes,更好的睡眠：您的安眠完全指南,बेहतर नींद: आरामदायक रातों के लिए आपकी पूर्ण गाइड,더 나은 수면: 편안한 밤을 위한 완벽한 가이드
article_sleep_toc_1,Why Sleep Matters,Por Qué Es Importante el Sueño,Pourquoi le Sommeil Est Important,为什么睡眠很重要,नींद क्यों महत्वपूर्ण है,수면이 왜 중요한가요?
article_sleep_toc_2,How Much Sleep Do You Need?,¿Cuánto Sueño Necesitas?,Combien de Sommeil Avez-Vous Besoin ?,您需要多少睡眠？,आपको कितनी नींद की जरूरत है?,얼마나 자야 하나요?
article_sleep_toc_3,Sleep Hygiene Basics,Fundamentos de la Higiene del Sueño,Les Bases de l'Hygiène du Sommeil,睡眠卫生基础,नींद की स्वच्छता की मूल बातें,수면 위생 기본
article_sleep_toc_4,Optimize Your Bedroom,Optimiza Tu Dormitorio,Optimisez Votre Chambre,优化您的卧室,अपने बेडरूम को ऑप्टिमाइज़ करें,침실 최적화
article_sleep_toc_5,Bedtime Routines,Rutinas para Dormir,Routines du Coucher,睡前习惯,सोने की दिनचर्या,취침 루틴
article_sleep_toc_6,Common Sleep Problems,Problemas Comunes del Sueño,Problèmes de Sommeil Courants,常见睡眠问题,आम नींद की समस्याएं,일반적인 수면 문제
article_sleep_toc_7,When to See a Doctor,Cuándo Consultar a un Médico,Quand Consulter un Médecin,何时看医生,डॉक्टर से कब मिलें,의사를 만나야 할 때
article_sources,Sources & Further Reading,Fuentes y Lecturas Adicionales,Sources et Lectures Complémentaires,来源与延伸阅读,स्रोत और आगे पढ़ें,출처 및 추가 자료
article_stress_h2_1,What is Stress?,¿Qué es el Estrés?,Qu'est-ce que le Stress ?,什么是压力？,तनाव क्या है?,스트레스란 무엇인가요?
article_stress_h2_2,Types of Stress,Tipos de Estrés,Types de Stress,压力的类型,तनाव के प्रकार,스트레스의 유형
article_stress_h2_3,Effects on Body and Mind,Efectos en el Cuerpo y la Mente,Effets sur le Corps et l'Esprit,对身心的影响,शरीर और मन पर प्रभाव,몸과 마음에 미치는 영향
article_stress_h2_4,Warning Signs of Too Much Stress,Señales de Advertencia de Demasiado Estrés,Signes d'Alerte d'un Stress Excessif,压力过大的警示信号,बहुत अधिक तनाव के चेतावनी संकेत,과도한 스트레스의 경고 징후
article_stress_h2_5,Healthy Coping Strategies,Estrategias de Afrontamiento Saludables,Stratégies d'Adaptation Saines,健康的应对策略,स्वस्थ मुकाबला रणनीतियां,건강한 대처 전략
article_stress_h2_6,Lifestyle Changes for Stress Management,Cambios de Estilo de Vida para el Manejo del Estrés,Changements de Mode de Vie pour la Gestion du Stress,压力管理的生活方式改变,तनाव प्रबंधन के लिए जीवनशैली में बदलाव,스트레스 관리를 위한 생활 방식 변화
article_stress_h2_7,When to Seek Professional Help,Cuándo Buscar Ayuda Profesional,Quand Chercher une Aide Professionnelle,何时寻求专业帮助,पेशेवर मदद कब लें,전문적인 도움을 받아야 할 때
article_stress_h3_1,Acute Stress,Estrés Agudo,Stress Aigu,急性压力,तीव्र तनाव,급성 스트레스
article_stress_h3_10,Set Boundaries,Establece Límites,Fixez des Limites,设定界限,सीमाएं निर्धारित करें,경계 설정
article_stress_h3_11,Problem-Solve,Resuelve Problemas,Résolvez les Problèmes,解决问题,समस्या-समाधान करें,문제 해결
article_stress_h3_2,Episodic Acute Stress,Estrés Agudo Episódico,Stress Aigu Épisodique,间歇性急性压力,प्रासंगिक तीव्र तनाव,삽화성 급성 스트레스
article_stress_h3_3,Chronic Stress,Estrés Crónico,Stress Chronique,慢性压力,दीर्घकालिक तनाव,만성 스트레스
article_stress_h3_4,Physical Effects,Efectos Físicos,Effets Physiques,身体影响,शारीरिक प्रभाव,신체적 영향
article_stress_h3_5,Emotional and Mental Effects,Efectos Emocionales y Mentales,Effets Émotionnels et Mentaux,情绪和心理影响,भावनात्मक और मानसिक प्रभाव,감정적 및 정신적 영향
article_stress_h3_6,Behavioral Effects,Efectos Conductuales,Effets Comportementaux,行为影响,व्यवहारिक प्रभाव,행동적 영향
article_stress_h3_7,Practice Relaxation Techniques,Practica Técnicas de Relajación,Pratiquez des Techniques de Relaxation,练习放松技巧,विश्राम तकनीकों का अभ्यास करें,이완 기법 연습
article_stress_h3_8,Stay Connected,Mantente Conectado,Restez Connecté,保持社交联系,जुड़े रहें,연결 유지
article_stress_h3_9,Take Breaks,Toma Descansos,Prenez des Pauses,适当休息,ब्रेक लें,휴식 취하기
article_stress_li1,Headaches and muscle tension,Dolores de cabeza y tensión muscular,Maux de tête et tension musculaire,头痛和肌肉紧张,सिरदर्द और मांसपेशियों में तनाव,두통과 근육 긴장
article_stress_li10,Feeling overwhelmed,Sentirse abrumado,Se sentir submergé,感到不堪重负,अभिभूत महसूस करना,압도당하는 느낌
article_stress_li11,Irritability or anger,Irritabilidad o enojo,Irritabilité ou colère,易怒或愤怒,चिड़चिड़ापन या गुस्सा,짜증 또는 분노
article_stress_li12,Sadness or depression,Tristeza o depresión,Tristesse ou dépression,悲伤或抑郁,उदासी या अवसाद,슬픔 또는 우울
article_stress_li13,Memory problems,Problemas de memoria,Problèmes de mémoire,记忆问题,स्मृति समस्याएं,기억력 문제
article_stress_li14,Overeating or undereating,Comer en exceso o comer poco,Manger trop ou pas assez,暴饮暴食或食欲不振,अधिक खाना या कम खाना,과식 또는 식욕 부진
article_stress_li15,Angry outbursts,Arrebatos de ira,Explosions de colère,愤怒爆发,गुस्से का विस्फोट,분노 폭발
article_stress_li16,Drug or alcohol misuse,Uso indebido de drogas o alcohol,Abus de drogues ou d'alcool,药物或酒精滥用,ड्रग या शराब का दुरुपयोग,약물 또는 알코올 남용
article_stress_li17,Social withdrawal,Aislamiento social,Retrait social,社交退缩,सामाजिक अलगाव,사회적 철수
article_stress_li18,Exercising less often,Hacer menos ejercicio,Faire moins d'exercice,减少运动,कम व्यायाम करना,운동 빈도 감소
article_stress_li19,Feeling constantly worried or anxious,Sentirse constantemente preocupado o ansioso,Se sentir constamment inquiet ou anxieux,经常感到担忧或焦虑,लगातार चिंतित या बेचैन महसूस करना,끊임없이 걱정하거나 불안함
article_stress_li2,Chest pain and rapid heartbeat,Dolor en el pecho y latidos cardíacos rápidos,Douleur thoracique et rythme cardiaque rapide,胸痛和心跳加速,छाती में दर्द और तेज़ दिल की धड़कन,가슴 통증과 빠른 심박수
article_stress_li20,Having trouble concentrating,Tener problemas para concentrarse,Avoir du mal à se concentrer,难以集中注意力,ध्यान केंद्रित करने में परेशानी,집중하기 어려움
article_stress_li21,Experiencing mood swings,Experimentar cambios de humor,Éprouver des sautes d'humeur,情绪波动,मूड स्विंग का अनुभव करना,기분 변화 경험
article_stress_li22,Feeling overwhelmed by everyday tasks,Sentirse abrumado por tareas cotidianas,Se sentir submergé par les tâches quotidiennes,被日常任务压倒,रोज़मर्रा के कामों से अभिभूत महसूस करना,일상적인 일에 압도당함
article_stress_li23,Having trouble sleeping or sleeping too much,Tener problemas para dormir o dormir demasiado,Avoir du mal à dormir ou dormir trop,睡眠困难或睡眠过多,सोने में परेशानी या बहुत अधिक सोना,수면 장애 또는 과수면
article_stress_li24,"Relying on alcohol, drugs, or food to cope","Depender del alcohol, drogas o comida para sobrellevar","Dépendre de l'alcool, des drogues ou de la nourriture pour faire face",依赖酒精、药物或食物来应对,"शराब, ड्रग्स या भोजन पर निर्भर रहना","대처하기 위해 알코올, 약물 또는 음식에 의존"
article_stress_li25,Physical symptoms without a clear medical cause,Síntomas físicos sin una causa médica clara,Symptômes physiques sans cause médicale claire,没有明确医学原因的身体症状,बिना स्पष्ट चिकित्सा कारण के शारीरिक लक्षण,명확한 의학적 원인 없는 신체 증상
article_stress_li26,Withdrawing from friends and activities you enjoy,Alejarse de amigos y actividades que disfruta,Se retirer des amis et des activités appréciées,远离朋友和您喜欢的活动,दोस्तों और आनंददायक गतिविधियों से दूर होना,친구와 즐기던 활동에서 철수
article_stress_li27,<strong>Exercise regularly:</strong> Physical activity produces endorphins—chemicals in the brain that act as natural painkillers and mood elevators. Aim for at least 30 minutes of moderate exercise most days.,<strong>Haz ejercicio regularmente:</strong> La actividad física produce endorfinas—químicos en el cerebro que actúan como analgésicos naturales y elevadores del estado de ánimo. Intenta al menos 30 minutos de ejercicio moderado la mayoría de los días.,<strong>Faites de l'exercice régulièrement :</strong> L'activité physique produit des endorphines—des substances chimiques dans le cerveau qui agissent comme des analgésiques naturels et des élévateurs d'humeur. Visez au moins 30 minutes d'exercice modéré la plupart des jours.,<strong>定期锻炼：</strong>体育活动产生内啡肽——大脑中充当天然止痛药和情绪提升剂的化学物质。大多数日子争取至少30分钟的中等强度运动。,<strong>नियमित व्यायाम करें:</strong> शारीरिक गतिविधि एंडोर्फिन उत्पन्न करती है—मस्तिष्क में रसायन जो प्राकृतिक दर्द निवारक और मूड एलेवेटर के रूप में कार्य करते हैं। अधिकांश दिनों में कम से कम 30 मिनट के मध्यम व्यायाम का लक्ष्य रखें।,<strong>규칙적인 운동:</strong> 신체 활동은 자연 진통제이자 기분 향상제 역할을 하는 엔도르핀을 생성합니다. 대부분의 날 최소 30분의 중간 강도 운동을 목표로 하세요.
article_stress_li28,<strong>Eat a balanced diet:</strong> A healthy diet can help counter the impact of stress by boosting your immune system and lowering blood pressure. Avoid excessive caffeine and sugar.,<strong>Come una dieta balanceada:</strong> Una dieta saludable puede ayudar a contrarrestar el impacto del estrés al fortalecer tu sistema inmunológico y reducir la presión arterial. Evita el exceso de cafeína y azúcar.,<strong>Mangez équilibré :</strong> Une alimentation saine peut aider à contrer l'impact du stress en renforçant votre système immunitaire et en abaissant la pression artérielle. Évitez l'excès de caféine et de sucre.,<strong>均衡饮食：</strong>健康的饮食可以通过增强免疫系统和降低血压来帮助抵消压力的影响。避免过多的咖啡因和糖。,<strong>संतुलित आहार लें:</strong> स्वस्थ आहार आपकी प्रतिरक्षा प्रणाली को बढ़ाकर और रक्तचाप को कम करके तनाव के प्रभाव का मुकाबला करने में मदद कर सकता है। अधिक कैफीन और चीनी से बचें।,<strong>균형 잡힌 식단:</strong> 건강한 식단은 면역 체계를 강화하고 혈압을 낮춰 스트레스의 영향을 상쇄하는 데 도움이 됩니다. 과도한 카페인과 설탕을 피하세요.
article_stress_li29,"<strong>Get enough sleep:</strong> Stress often causes sleep problems, but lack of sleep also increases stress. Aim for 7-9 hours per night and maintain a consistent sleep schedule.","<strong>Duerme lo suficiente:</strong> El estrés a menudo causa problemas de sueño, pero la falta de sueño también aumenta el estrés. Intenta dormir 7-9 horas por noche y mantén un horario de sueño consistente.","<strong>Dormez suffisamment :</strong> Le stress cause souvent des problèmes de sommeil, mais le manque de sommeil augmente aussi le stress. Visez 7-9 heures par nuit et maintenez un horaire de sommeil régulier.",<strong>充足睡眠：</strong>压力经常导致睡眠问题，但睡眠不足也会增加压力。每晚争取7-9小时的睡眠，保持规律的睡眠时间表。,"<strong>पर्याप्त नींद लें:</strong> तनाव अक्सर नींद की समस्याएं पैदा करता है, लेकिन नींद की कमी भी तनाव बढ़ाती है। प्रति रात 7-9 घंटे का लक्ष्य रखें और लगातार नींद का कार्यक्रम बनाए रखें।","<strong>충분한 수면:</strong> 스트레스는 종종 수면 문제를 유발하지만, 수면 부족도 스트레스를 증가시킵니다. 밤에 7-9시간을 목표로 하고 일관된 수면 일정을 유지하세요."
article_stress_li3,Fatigue and sleep problems,Fatiga y problemas de sueño,Fatigue et problèmes de sommeil,疲劳和睡眠问题,थकान और नींद की समस्याएं,피로와 수면 문제
article_stress_li30,<strong>Limit alcohol and avoid drugs:</strong> These may seem to reduce stress temporarily but actually add to it in the long run.,<strong>Limita el alcohol y evita las drogas:</strong> Estos pueden parecer reducir el estrés temporalmente pero en realidad lo aumentan a largo plazo.,<strong>Limitez l'alcool et évitez les drogues :</strong> Ceux-ci peuvent sembler réduire le stress temporairement mais l'augmentent en réalité à long terme.,<strong>限制酒精，避免药物：</strong>这些看似能暂时减轻压力，但实际上从长远来看会增加压力。,<strong>शराब सीमित करें और ड्रग्स से बचें:</strong> ये अस्थायी रूप से तनाव कम करते हुए दिख सकते हैं लेकिन वास्तव में लंबे समय में इसे बढ़ाते हैं।,<strong>알코올 제한 및 약물 피하기:</strong> 이것들은 일시적으로 스트레스를 줄이는 것처럼 보일 수 있지만 장기적으로는 실제로 스트레스를 더합니다.
article_stress_li31,"<strong>Make time for hobbies:</strong> Engaging in activities you enjoy can be a great stress reliever. Whether it's reading, gardening, music, or art—find what works for you.","<strong>Dedica tiempo a los pasatiempos:</strong> Participar en actividades que disfrutas puede ser un gran alivio del estrés. Ya sea lectura, jardinería, música o arte—encuentra lo que funciona para ti.","<strong>Prenez du temps pour les loisirs :</strong> S'engager dans des activités que vous aimez peut être un excellent anti-stress. Que ce soit la lecture, le jardinage, la musique ou l'art—trouvez ce qui fonctionne pour vous.",<strong>抽时间做爱好：</strong>参与您喜欢的活动可以很好地缓解压力。无论是阅读、园艺、音乐还是艺术——找到适合您的方式。,"<strong>शौक के लिए समय निकालें:</strong> जिन गतिविधियों का आप आनंद लेते हैं उनमें भाग लेना तनाव को दूर करने का एक शानदार तरीका हो सकता है। चाहे पढ़ना हो, बागवानी हो, संगीत हो या कला—अपने लिए काम करने वाला खोजें।","<strong>취미 시간 만들기:</strong> 즐기는 활동에 참여하는 것은 훌륭한 스트레스 해소제가 될 수 있습니다. 독서, 정원 가꾸기, 음악, 예술 등 본인에게 맞는 것을 찾으세요."
article_stress_li32,"<strong>Practice good time management:</strong> Plan ahead, prioritize tasks, and break projects into smaller steps. This can help reduce the stress of feeling overwhelmed.","<strong>Practica una buena gestión del tiempo:</strong> Planifica con anticipación, prioriza tareas y divide los proyectos en pasos más pequeños. Esto puede ayudar a reducir el estrés de sentirse abrumado.","<strong>Pratiquez une bonne gestion du temps :</strong> Planifiez à l'avance, priorisez les tâches et divisez les projets en étapes plus petites. Cela peut aider à réduire le stress de se sentir submergé.",<strong>练习良好的时间管理：</strong>提前计划，确定任务优先级，将项目分解成更小的步骤。这可以帮助减少感到不堪重负的压力。,"<strong>अच्छा समय प्रबंधन अभ्यास करें:</strong> आगे की योजना बनाएं, कार्यों को प्राथमिकता दें और परियोजनाओं को छोटे चरणों में विभाजित करें। यह अभिभूत महसूस करने के तनाव को कम करने में मदद कर सकता है।","<strong>좋은 시간 관리 연습:</strong> 미리 계획하고, 작업의 우선순위를 정하고, 프로젝트를 작은 단계로 나누세요. 이것은 압도당하는 느낌의 스트레스를 줄이는 데 도움이 됩니다."
